Countries,C1,C2,C3
Spain,0.9012167015028361,0.00248928495292381,0.9816088465687464
Estonia,1.5341520353685931,0.1854878097383168,0.12883118656254863
Ethiopia,1.9711119450689907,0.22001890219111583,0.05413436428489025
Finland,2.034222270066601,0.16716941220643503,2.457841918923349
Fiji,0.28903448751332644,0.2503974262381213,0.22103446390837628
France,1.5979564199668073,0.3792185281148846,0.5260152575461567
Gabon,0.49650878982485214,0.14357478641084603,0.015057789745413297
United Kingdom,0.9596135734279401,0.16141788169066726,0.8361941217238212
Georgia,0.18467078254899497,0.708359170376867,0.06676161766396839
Ghana,0.34395384432138976,0.27083594781392667,2.0005928152032917
Guinea,0.40419311363347143,0.39844671330916176,0.26216777425007864
"Gambia, The",0.04353547991097,0.5821084881017379,0.743640754117223
Guinea-Bissau,0.8295047321880923,0.1512595251100133,0.5579088611347047
Greece,0.44088063177142306,0.0032140310319625975,0.24672129702083914
Guatemala,0.009019533626395723,1.1695376006013711,0.4515561782288916
Guyana,0.026371476450519227,0.5203526024396664,1.6269154129666228
"Hong Kong SAR, China",1.2552175271915442,0.6089119973152284,4.539648737149084
Honduras,0.04733793511715508,0.7662275898172276,0.025623925732121074
Croatia,0.10385866976486324,0.06261408993673026,0.3940165610913537
Haiti,1.1242948749826416,0.2342774683687724,3.0664900043175396
Hungary,0.07089991022878675,0.39076275088524026,0.2428133038566936
Indonesia,0.032852080842210675,0.604422483369466,0.00653010324707549
India,0.06551037644341146,0.1655435682782531,0.018699726594424034
Ireland,1.5632968251420765,0.014212478270051256,0.9169863297192138
"Iran, Islamic Rep.",2.0452871471612206,1.227011320720789,0.0038204636180288755
Iraq,0.06529601353444471,1.0219140073546376,0.11071551664851052
Iceland,0.9960108126258755,0.33546919851002416,0.741082921366342
Israel,1.2171972828790798,0.0002760325857740578,0.07129759627749034
Italy,0.5853002847277606,0.02598428877338349,0.058871389376957954
Jamaica,0.08010906295338877,0.2235525691162311,0.5674651851501551
Jordan,0.2101093355261513,0.6203840467617721,0.17659866734830515
Japan,1.9815823077059576,0.0709477184756282,1.6906850113793241
Kazakhstan,0.058552237384725064,0.022571498641278737,0.3218410718865373
Kenya,0.05986996628097579,0.6652509515287184,0.037155181297484734
Kyrgyz Republic,0.11507915826835566,0.05352549091479714,0.4875889627781807
Cambodia,0.196531819318177,1.9104357797372307,0.08585300200708089
"Korea, Rep.",0.959074880540754,0.011455317716385712,0.16807207896247744
Kuwait,0.22465848596110202,1.6004522495740734,0.5241820199855869
Lao PDR,0.4291207386210211,0.004424186374460131,0.12835753530526076
Lebanon,1.2282975283254054,0.6045410789934588,0.46955872016663774
Liberia,0.17678828507810132,0.6840787368367359,0.016789959733324224
Libya,0.9151178630416528,2.415243651693935,0.576758067401371
Sri Lanka,0.39735253980195334,0.8503755804418422,0.000862633194920138
Lesotho,0.05738138403475189,0.26073210985018613,0.05071325632089242
Lithuania,0.6319991950865805,0.01385252268668021,0.020687599378458783
Luxembourg,2.4453595911664614,0.25067826187617065,0.8183405652224099
