Countries,C1,C2,C3
Dominican Republic,0.0237570888830469,0.32964059633098014,0.25284372464102234
Algeria,0.32139988057880786,0.19827913648548318,0.08658245718215514
Ecuador,0.25504628905174875,0.11675958725280637,0.02034862073215432
"Egypt, Arab Rep.",0.22098377225263063,0.12140245517138336,0.025557397141161117
Spain,0.7037446580686261,0.0005691484435207987,0.18916151183736757
Estonia,0.8248801256590563,0.029201346077634898,0.017094321950422986
Ethiopia,0.771777306057603,0.025223524256038826,0.005230728616514582
Finland,0.6991613668330927,0.01682290112732148,0.20846895914441924
Fiji,0.1960600423285201,0.04973181916036982,0.03700052223240459
France,0.7250946951462124,0.050383044139754286,0.05890288563378019
Gabon,0.4533066372618057,0.03838030082369221,0.003392616721513678
United Kingdom,0.6730890383295102,0.033150710294286505,0.14474103663205312
Georgia,0.2530756644323002,0.2842305632474445,0.022578104584233948
Ghana,0.23538474478060306,0.054268711626450764,0.33786661656484984
Guinea,0.5322411124877076,0.1536224955512938,0.0851936544599916
"Gambia, The",0.039048397550967485,0.15287232506337434,0.16460063090402594
Guinea-Bissau,0.7014370586515578,0.03745050087598749,0.11642373591875681
Greece,0.43983198126567835,0.0009388169216870914,0.06074084884619148
Guatemala,0.009544837195447445,0.36237955793740073,0.11792466867457184
Guyana,0.021771123847223992,0.1257793056626906,0.33145136329561264
"Hong Kong SAR, China",0.4571828463122884,0.06493674598256971,0.4080389441130105
Honduras,0.11868385806614846,0.5624775458238324,0.015853912074999775
Croatia,0.2534448625895005,0.04473813422225229,0.23728137247526032
Haiti,0.36641871634996664,0.022355943285064964,0.2466308526002564
Hungary,0.1243463124872127,0.20066214139059324,0.10509163205272494
Indonesia,0.07284528318524358,0.39241375577534415,0.00357327987957552
India,0.11806748581025753,0.08735697587762886,0.008316946541067727
Ireland,0.8045523582197567,0.0021416462583344845,0.11646197761518198
"Iran, Islamic Rep.",0.723676325438223,0.1271170204008111,0.00033359119356542774
Iraq,0.03640932189686815,0.16684197953398774,0.015235013626236554
Iceland,0.4656830877965664,0.04592446681004796,0.08550699626982254
Israel,0.9146472712523117,6.073206965242135e-05,0.013221355720258595
Italy,0.470987014756184,0.006122179957035205,0.01169076462001604
Jamaica,0.14076317430552152,0.11501437512626565,0.24606795225268888
Jordan,0.404004679075794,0.3492743764114283,0.08379862654391643
Japan,0.6701526183777788,0.0070253035761090165,0.14110185982855097
Kazakhstan,0.1397820463930774,0.015777324331071686,0.1896084981217738
Kenya,0.12483070409118785,0.4061280349686959,0.019117901700628593
Kyrgyz Republic,0.21331884494046605,0.029050811260906216,0.22304620888941584
Cambodia,0.17304345642898306,0.49251539352364093,0.018654612208158238
"Korea, Rep.",0.8482377970219879,0.0029664518394460575,0.0366833601048904
Kuwait,0.13979408659932396,0.29159075687647884,0.08049270569638158
Lao PDR,0.27104185089527955,0.0008181921782727079,0.020007215632389583
Lebanon,0.40658259815103653,0.058591698052020524,0.038356904567158595
Liberia,0.1501556857081828,0.1701215962136493,0.003519219748809634
Libya,0.26169959010559535,0.20223299688787716,0.04070315937539268
Sri Lanka,0.32094932814302113,0.20111122754696037,0.0001719471875580537
Lesotho,0.06166327273061464,0.08203801233783094,0.013448860296633863
Lithuania,0.7040072307285355,0.004518086314372099,0.005686946267080515
Luxembourg,0.8788408624338392,0.02637844824556211,0.07257884002523919
Latvia,0.5580404201177872,0.0005963931204132622,0.13699595894304495
Morocco,0.0214988534028958,0.10804347238811672,0.13306478629581353
