Countries,F1,F2,F3
Iraq,-1.1824603097357058,1.6192732798661333,-1.4858180628010524
Iceland,0.9884877989966379,1.6837807632297934,0.3486286925449009
Israel,0.44409101201068396,1.3438682795818138,0.7952350319023089
Italy,0.23693443942010714,0.38464529312196893,0.5584620915154158
Jamaica,0.6745834180013635,-0.5746971700677799,0.35801863595529704
Jordan,0.20091179869059378,-0.37340681680715765,0.8700156756446044
Japan,1.5397423433036599,0.5490367126263022,0.6021266652836659
Kazakhstan,-0.04553917290850051,-0.23324402728472382,-0.0670283635450673
Kenya,-0.05575831188006652,-0.7566218939173229,0.6114826473376667
Kyrgyz Republic,-0.43670065529697605,-0.6172726996781097,-0.11808675165046738
Cambodia,-0.24981016631336017,-1.4683728960591982,0.6411670568639807
"Korea, Rep.",0.9112289370334242,0.6743984503728531,0.6966899887371634
Kuwait,0.2740561321259737,2.1423163474930433,-1.3008726151480245
Lao PDR,-0.788597965235152,-0.10496241075076959,-0.5396386799346803
Lebanon,0.6157607081035236,-1.578905528049938,-2.4847733161672414
Liberia,-0.4918500299669607,-0.8597474701114111,0.2854924400660782
Libya,-2.0946673653983963,2.5882170502275956,-2.0513701806612583
Sri Lanka,0.6746856153472855,-1.014089582497586,-1.7494631350289398
Lesotho,-1.3335295499239619,1.0342707739109347,0.5816249270648933
Lithuania,0.8656510899333191,0.11712963217545254,0.1969545066943779
Luxembourg,1.1385287133798,1.6984014252700819,0.7495101993338928
Latvia,0.7729042514225858,0.26813997746845747,0.5838841989161004
Morocco,-0.3753415410685862,0.3675518933731195,0.5827554178064273
Moldova,0.009841929959252007,-0.454287643682545,-0.02157464449671539
Madagascar,-1.6555639463080178,0.9666834192188306,0.613465064478662
Mexico,-0.343763636017537,-0.6568775918609393,0.622462204804417
North Macedonia,-0.28286136454104455,-0.47061779093391715,0.3890727099557266
Mali,-0.8834804561984091,-0.24821908261508385,0.5761897364345229
Malta,0.9108303298688073,0.9416034633805179,0.6373708624769764
Myanmar,-1.7314744938645974,0.7565447148726767,-0.54749270590503
Montenegro,0.19359746054520738,-0.27890574488957726,0.1455532756411359
Mongolia,-0.5617502812891297,0.2840257020830622,0.11341290757884027
Mozambique,-1.2613096977432814,-0.10631858966042196,0.4281797755638257
Mauritania,-1.280199882630005,0.4876494808914601,0.5106280770786457
Mauritius,1.0556946678334438,-0.5567789692819071,0.2752555089786968
Malawi,-0.026896804114332637,-1.2976542324344689,-0.42027489035771515
Malaysia,1.1048697962027834,-0.6862870928934574,0.4715294268752385
Namibia,-0.5997685579682892,0.4515600810741686,0.5487577159256924
Niger,-0.9706016408549685,-0.25613408609282795,0.6933652221805005
Nigeria,-0.4294114843025818,-1.59829509725034,0.1642054650393396
Nicaragua,-1.3048510649115568,-0.5173437295972024,0.5114536284611133
Netherlands,1.1203998834712336,1.7111846789133192,0.5506436047091138
Norway,1.6734390087529751,1.6562852130362729,-1.0959044432214164
Nepal,0.15446444499974843,-1.8530715539449898,0.5701344967559298
New Zealand,1.7267350540166946,0.37470053109800217,0.5677815591264611
Oman,0.2850076900072689,1.6251832250815228,-0.8002321386048451
Pakistan,0.018792985188470068,-1.1012240544091354,-0.5629240329151104
Panama,0.23064081915024115,0.09040534756533558,0.6960394336590827
Peru,-0.08283683356169547,-0.2874454293118271,0.47621158266305763
Philippines,0.33069911384412953,-0.5967420707297202,0.45147563780271494
Papua New Guinea,-1.1571611075446455,0.990246400099145,0.12591256958645722
Poland,-0.03530277423995716,0.4981743222520969,0.1786121572154659
Portugal,1.1996503481109544,-0.12182409582582503,0.45795359358011933
Paraguay,-0.16659798113663937,-0.6492080826932897,0.4407768495695415
Qatar,0.6193452647006096,2.127497059055508,-1.3953879368100202
Romania,0.49259632961793076,0.026674672972758412,0.1835004433187448
Russian Federation,-1.1509568336541132,0.8580199327491989,-0.3456223087300456
Rwanda,0.27833600761588356,-0.2508701847248331,-0.16129801353808498
Saudi Arabia,0.35663013769179164,1.891746642787959,-0.5266824282203341
Sudan,-0.46600104537140663,-0.30932802924516634,-2.77788282586157
Senegal,-0.3250134390164433,-0.3330976138882485,0.36875736989197383
Singapore,2.1203428769613493,0.04717720410885401,0.06630925351696731
Sierra Leone,0.44451802026447496,-1.8548836995560405,-0.9777256950380463
El Salvador,-0.7172593067178261,-0.07872517734340732,0.4927251440074809
Somalia,-1.658717304091069,-1.6098450176555579,0.6647900572876199
Serbia,-0.19756335195454242,0.06923321309615382,0.16238014157449399
Suriname,0.22607793241688307,0.0168515002109366,-2.2348627746703484
Slovak Republic,0.29858326988609546,0.4937838399807884,0.333270334220169
