Countries,F1,F2
Montenegro,0.14204897806389633,0.2253912992637139
Mongolia,-0.08490492485782816,-0.05703277217932427
Mozambique,-1.2093853146399043,0.4995890686656121
Mauritania,-0.9673982183542478,0.401659081973808
Mauritius,0.5977374651645239,0.4584058091160876
Malawi,-0.649903844229385,-0.17537525589387767
Malaysia,0.7121437271885249,0.3286616125090413
Namibia,-0.2886357174031003,0.5646827410001473
Niger,-0.8157381557871133,0.5916334028635192
Nigeria,-1.5475649893899661,0.8228246055386464
Nicaragua,-1.5355310451178157,0.5180821171906131
Netherlands,1.639617061899406,0.784260264456426
Norway,2.4439942961991745,-1.4011823258172074
Nepal,-0.6635148756675684,0.4318138737277613
New Zealand,1.6927652148558086,0.7132817163214529
Oman,1.2158072635996284,-1.1444230201032504
Pakistan,-0.7430731983014517,-0.2268120979880692
Panama,0.03131877443593794,0.739057724679345
Peru,-0.3409809200989874,0.5995993283539017
Philippines,-0.22654391804478832,0.6426437317419622
Papua New Guinea,-0.31491744304385166,-0.11462600058936936
Poland,0.045847174532900076,0.4532516469340219
Portugal,0.9512102697860836,0.5343921750849683
Paraguay,-0.49836634042297767,0.41849196316213194
Qatar,1.6972679045264607,-1.6861304154018222
Romania,0.40613430348383167,0.31048813491553573
Russian Federation,-0.5453639276877786,-0.5127917757597571
Rwanda,-0.18323651870397079,0.31535018297133793
Saudi Arabia,1.0922571011870736,-0.6200263981182458
Sudan,-0.4623475036746059,-2.817215429253787
Senegal,-0.5163576306286112,0.4104800834352916
Singapore,1.8341368614905478,0.07263662426279982
Sierra Leone,-0.576693615062514,-0.7056194601967287
El Salvador,-0.8086900319184648,0.5062266443649324
Somalia,-2.2221451017083287,0.5699179399586835
Serbia,-0.025637944365739317,0.1755161532929346
Suriname,0.3014388490073437,-2.171613151578222
Slovak Republic,0.47782006986196945,0.391408424277766
Slovenia,0.5602490920554825,0.43296154201463677
Sweden,1.4804019989262107,0.7618406864810234
Eswatini,-1.1372597184138178,0.30885720480679935
Seychelles,0.17265044748700495,0.7742026401765244
Syrian Arab Republic,-0.563745550236691,-2.9858883937443124
Chad,-1.5803610332374671,-0.7259419024495994
Togo,-0.7473713555285929,0.5759210368745621
Thailand,0.31136680086309587,0.6415463584786013
Tajikistan,-0.9273471735585788,0.37165679705001214
Timor-Leste,1.1153412546231427,-2.6242002509877773
Trinidad and Tobago,0.9247310092629198,-1.2448490474552196
Tunisia,-0.4399539138568555,0.5015725326932324
Turkiye,0.8034991109090001,-2.7771469134333646
Taiwan,0.9590234443513811,0.8108482289348528
Tanzania,-0.5280331323810018,0.4574771447806285
Uganda,-0.6299835720737744,0.6114123342701007
Ukraine,-0.39415766098538035,-0.6501158469958505
Uruguay,0.8631873204940921,0.2873098825007904
United States,1.1266036562216384,0.6040124852537588
"Venezuela, RB",-1.1965618277937984,-3.1330280087498767
Vietnam,-0.7623281231322366,0.6387144719991796
"Yemen, Rep.",-0.37888837932095193,-3.09167223348292
South Africa,-0.16598121748949168,0.9162355122068111
Zambia,-0.33214459088024306,-0.20422854494350273
Zimbabwe,-0.32653298697322636,-2.8427502829241766
